Borough,Neighborhood,ID,Name
Brooklyn,Bay Ridge,579d3e7c498effa33c0450af,Istanbul Bay
Brooklyn,Gravesend,51a2a2a3498e0d5d337f137b,Wood Spoon
Brooklyn,Sheepshead Bay,4fcbfc92e4b088c92e7e97ad,Opera Cafe Lounge
Brooklyn,Sheepshead Bay,4b1d5405f964a520d70e24e3,Liman Restaurant
Brooklyn,Manhattan Terrace,4a060d32f964a520b1721fe3,Taci's Beyti Restaurant
Brooklyn,Manhattan Beach,4b1d5405f964a520d70e24e3,Liman Restaurant
Brooklyn,Manhattan Beach,4fcbfc92e4b088c92e7e97ad,Opera Cafe Lounge
Brooklyn,Manhattan Beach,4a986cf5f964a520f32b20e3,Istanbul Restaurant Fish & Kebab
Brooklyn,Bath Beach,4aef96d2f964a5206fd921e3,Istanbul Turkish Fast Food & Restaurant
Brooklyn,Dyker Heights,579d3e7c498effa33c0450af,Istanbul Bay
Brooklyn,Gerritsen Beach,4b1d5405f964a520d70e24e3,Liman Restaurant
Brooklyn,Gerritsen Beach,4fcbfc92e4b088c92e7e97ad,Opera Cafe Lounge
Brooklyn,Ocean Parkway,4a060d32f964a520b1721fe3,Taci's Beyti Restaurant
Manhattan,Upper West Side,479309d9f964a520564d1fe3,Bodrum Mediterranean Restaurant
Queens,Breezy Point,4b1d5405f964a520d70e24e3,Liman Restaurant
Queens,Breezy Point,4fcbfc92e4b088c92e7e97ad,Opera Cafe Lounge
Queens,Ravenswood,5cb11a0766f3cd002c371624,Lokanta
Manhattan,Turtle Bay,50fc9a88e4b04cfffaebe2cf,Sip Sak
Queens,Sunnyside Gardens,4a75dd5af964a52076e11fe3,Mangal Kebab
Queens,Roxbury,4b1d5405f964a520d70e24e3,Liman Restaurant
Brooklyn,Homecrest,4a060d32f964a520b1721fe3,Taci's Beyti Restaurant
Brooklyn,Madison,4a060d32f964a520b1721fe3,Taci's Beyti Restaurant
